Время();Напряжение I/O-1(В)
0;0,098
1;-0,429
2;-0,882
3;-1,188
4;-1,274
5;-1,176
6;-0,882
7;-0,465
8;-0,012
9;0,392
10;0,686
11;0,784
12;0,711
13;0,478
14;0,135
15;-0,257
16;-0,6
17;-0,858
18;-0,968
19;-0,919
20;-0,735
21;-0,453
22;-0,123
23;0,171
24;0,404
25;0,515
26;0,49
27;0,343
28;0,098
29;-0,171
30;-0,441
31;-0,637
32;-0,735
33;-0,735
34;-0,613
35;-0,404
36;-0,171
37;0,061
38;0,233
39;0,319
40;0,319
41;0,196
42;0,025
43;-0,171
44;-0,367
45;-0,515
46;-0,588
47;-0,576
48;-0,49
49;-0,343
50;-0,159
51;0
52;0,135
53;0,196
54;0,184
55;0,098
56;-0,025
57;-0,171
58;-0,306
59;-0,416
60;-0,478
61;-0,465
62;-0,392
63;-0,294
64;-0,147
65;-0,037
66;0,061
67;0,098
68;0,098
69;0,025
70;-0,061
71;-0,171
72;-0,27
73;-0,367
74;-0,392
75;-0,392
76;-0,331
77;-0,245
78;-0,147
79;-0,061
80;0
81;0,037
82;0,025
83;-0,025
84;-0,098
85;-0,196
86;-0,27
87;-0,319
88;-0,343
89;-0,319
90;-0,27
91;-0,208
92;-0,147
93;-0,073
94;-0,025
95;-0,012
96;-0,025
97;-0,073
98;-0,123
99;-0,196
100;-0,245
101;-0,282
102;-0,294
103;-0,27
104;-0,245
105;-0,196
106;-0,135
107;-0,086
108;-0,049
109;-0,049
110;-0,061
111;-0,098
112;-0,147
113;-0,196
114;-0,221
115;-0,257
116;-0,27
117;-0,245
118;-0,221
119;-0,171
120;-0,123
121;-0,098
122;-0,073
123;-0,086
124;-0,098
125;-0,123
126;-0,171
127;-0,196
128;-0,196
129;-0,245
130;-0,245
131;-0,221
132;-0,196
133;-0,171
134;-0,123
135;-0,11
136;-0,098
137;-0,098
138;-0,123
139;-0,147
140;-0,171
141;-0,196
142;-0,208
143;-0,221
144;-0,221
145;-0,196
146;-0,184
147;-0,159
148;-0,135
149;-0,123
150;-0,11
151;-0,123
152;-0,135
153;-0,147
154;-0,171
155;-0,196
156;-0,208
157;-0,196
158;-0,196
159;-0,196
160;-0,171
161;-0,147
162;-0,147
163;-0,123
164;-0,123
165;-0,135
166;-0,147
167;-0,159
168;-0,171
169;-0,196
170;-0,196
171;-0,196
172;-0,196
173;-0,184
174;-0,171
175;-0,147
176;-0,147
177;-0,135
178;-0,135
179;-0,147
180;-0,147
181;-0,171
182;-0,171
183;-0,196
184;-0,196
185;-0,196
186;-0,184
187;-0,171
188;-0,159
189;-0,147
190;-0,147
191;-0,147
192;-0,147
193;-0,147
194;-0,159
195;-0,171
196;-0,171
197;-0,184
198;-0,184
199;-0,184
