Время();Напряжение I/O-1(В)
0;1,164
1;0,515
2;-0,221
3;-0,919
4;-1,446
5;-1,715
6;-1,678
7;-1,384
8;-0,894
9;-0,257
10;0,343
11;0,833
12;1,115
13;1,152
14;0,931
15;0,527
16;0,012
17;-0,515
18;-0,956
19;-1,225
20;-1,286
21;-1,139
22;-0,821
23;-0,392
24;0,061
25;0,453
26;0,698
27;0,784
28;0,686
29;0,429
30;0,073
31;-0,319
32;-0,649
33;-0,882
34;-0,98
35;-0,907
36;-0,698
37;-0,404
38;-0,073
39;0,221
40;0,441
41;0,515
42;0,465
43;0,294
44;0,037
45;-0,245
46;-0,502
47;-0,674
48;-0,747
49;-0,711
50;-0,564
51;-0,343
52;-0,11
53;0,11
54;0,27
55;0,331
56;0,294
57;0,171
58;0
59;-0,208
60;-0,392
61;-0,539
62;-0,588
63;-0,564
64;-0,465
65;-0,306
66;-0,135
67;0,037
68;0,147
69;0,196
70;0,171
71;0,086
72;-0,049
73;-0,196
74;-0,343
75;-0,441
76;-0,49
77;-0,465
78;-0,392
79;-0,27
80;-0,123
81;0
82;0,073
83;0,098
84;0,086
85;0,012
86;-0,098
87;-0,196
88;-0,294
89;-0,367
90;-0,392
91;-0,38
92;-0,319
93;-0,221
94;-0,123
95;-0,037
96;0,025
97;0,037
98;0,012
99;-0,049
100;-0,123
101;-0,196
102;-0,27
103;-0,331
104;-0,343
105;-0,319
106;-0,27
107;-0,196
108;-0,123
109;-0,061
110;-0,025
111;-0,012
112;-0,037
113;-0,073
114;-0,147
115;-0,196
116;-0,257
117;-0,294
118;-0,294
119;-0,294
120;-0,233
121;-0,171
122;-0,123
123;-0,073
124;-0,049
125;-0,061
126;-0,073
127;-0,11
128;-0,159
129;-0,208
130;-0,245
131;-0,257
132;-0,257
133;-0,245
134;-0,196
135;-0,171
136;-0,123
137;-0,098
138;-0,073
139;-0,073
140;-0,098
141;-0,123
142;-0,171
143;-0,196
144;-0,233
145;-0,245
146;-0,233
147;-0,221
148;-0,196
149;-0,159
150;-0,123
151;-0,11
152;-0,098
153;-0,098
154;-0,123
155;-0,147
156;-0,171
157;-0,196
158;-0,221
159;-0,221
160;-0,221
161;-0,196
162;-0,171
163;-0,147
164;-0,135
165;-0,123
166;-0,123
167;-0,123
168;-0,135
169;-0,159
170;-0,171
171;-0,196
172;-0,208
173;-0,208
174;-0,196
175;-0,196
176;-0,171
177;-0,147
178;-0,147
179;-0,123
180;-0,123
181;-0,123
182;-0,147
183;-0,171
184;-0,171
185;-0,196
186;-0,196
187;-0,196
188;-0,196
189;-0,171
190;-0,171
191;-0,147
192;-0,147
193;-0,135
194;-0,135
195;-0,147
196;-0,159
197;-0,171
198;-0,171
199;-0,196
