Время();Напряжение I/O-1(В)
0;-0,674
1;-0,049
2;0,539
3;0,956
4;1,152
5;1,09
6;0,809
7;0,367
8;-0,171
9;-0,674
10;-1,053
11;-1,262
12;-1,237
13;-1,053
14;-0,686
15;-0,245
16;0,196
17;0,551
18;0,747
19;0,76
20;0,613
21;0,319
22;-0,049
23;-0,441
24;-0,735
25;-0,931
26;-0,968
27;-0,858
28;-0,613
29;-0,294
30;0,025
31;0,306
32;0,465
33;0,515
34;0,429
35;0,221
36;-0,037
37;-0,306
38;-0,551
39;-0,711
40;-0,747
41;-0,674
42;-0,502
43;-0,27
44;-0,025
45;0,171
46;0,294
47;0,331
48;0,27
49;0,123
50;-0,073
51;-0,27
52;-0,453
53;-0,564
54;-0,588
55;-0,539
56;-0,416
57;-0,245
58;-0,073
59;0,073
60;0,171
61;0,196
62;0,159
63;0,049
64;-0,098
65;-0,245
66;-0,367
67;-0,453
68;-0,478
69;-0,441
70;-0,343
71;-0,221
72;-0,086
73;0,025
74;0,086
75;0,098
76;0,073
77;-0,012
78;-0,123
79;-0,221
80;-0,331
81;-0,392
82;-0,392
83;-0,367
84;-0,294
85;-0,196
86;-0,098
87;-0,025
88;0,025
89;0,025
90;0
91;-0,061
92;-0,147
93;-0,221
94;-0,294
95;-0,331
96;-0,343
97;-0,306
98;-0,245
99;-0,171
100;-0,098
101;-0,049
102;-0,025
103;-0,012
104;-0,049
105;-0,098
106;-0,159
107;-0,221
108;-0,27
109;-0,294
110;-0,294
111;-0,27
112;-0,221
113;-0,171
114;-0,11
115;-0,073
116;-0,049
117;-0,049
118;-0,073
119;-0,098
120;-0,171
121;-0,221
122;-0,245
123;-0,27
124;-0,257
125;-0,233
126;-0,196
127;-0,159
128;-0,123
129;-0,098
130;-0,073
131;-0,086
132;-0,11
133;-0,147
134;-0,184
135;-0,208
136;-0,233
137;-0,245
138;-0,233
139;-0,208
140;-0,184
141;-0,147
142;-0,123
143;-0,098
144;-0,098
145;-0,11
146;-0,123
147;-0,159
148;-0,184
149;-0,208
150;-0,221
151;-0,221
152;-0,208
153;-0,196
154;-0,171
155;-0,147
156;-0,123
157;-0,11
158;-0,123
159;-0,123
160;-0,147
161;-0,171
162;-0,184
163;-0,196
164;-0,208
165;-0,208
166;-0,196
167;-0,184
168;-0,171
169;-0,147
170;-0,135
171;-0,135
172;-0,123
173;-0,147
174;-0,147
175;-0,171
176;-0,184
177;-0,196
178;-0,196
179;-0,196
180;-0,196
181;-0,171
182;-0,159
183;-0,147
184;-0,135
185;-0,135
186;-0,147
187;-0,147
188;-0,159
189;-0,171
190;-0,184
191;-0,184
192;-0,196
193;-0,184
194;-0,171
195;-0,171
196;-0,221
197;-0,147
198;-0,147
199;-0,147
