Время();Напряжение I/O-1(В)
0;0,245
1;-0,796
2;-1,666
3;-2,23
4;-2,377
5;-2,156
6;-1,568
7;-0,76
8;0,123
9;0,907
10;1,47
11;1,715
12;1,58
13;1,164
14;0,515
15;-0,221
16;-0,931
17;-1,446
18;-1,727
19;-1,691
20;-1,397
21;-0,882
22;-0,27
23;0,355
24;0,833
25;1,127
26;1,152
27;0,931
28;0,527
29;0,012
30;-0,515
31;-0,956
32;-1,225
33;-1,299
34;-1,139
35;-0,821
36;-0,392
37;0,061
38;0,441
39;0,711
40;0,784
41;0,674
42;0,416
43;0,049
44;-0,343
45;-0,686
46;-0,907
47;-0,968
48;-0,894
49;-0,686
50;-0,38
51;-0,049
52;0,245
53;0,441
54;0,527
55;0,465
56;0,294
57;0,037
58;-0,245
59;-0,49
60;-0,686
61;-0,76
62;-0,711
63;-0,564
64;-0,355
65;-0,11
66;0,11
67;0,319
68;0,343
69;0,306
70;0,184
71;0
72;-0,196
73;-0,392
74;-0,539
75;-0,588
76;-0,564
77;-0,465
78;-0,306
79;-0,135
80;0,025
81;0,147
82;0,196
83;0,171
84;0,086
85;-0,049
86;-0,196
87;-0,343
88;-0,441
89;-0,49
90;-0,453
91;-0,38
92;-0,257
93;-0,123
94;0
95;0,073
96;0,098
97;0,086
98;0,012
99;-0,098
100;-0,196
101;-0,294
102;-0,367
103;-0,392
104;-0,38
105;-0,319
106;-0,221
107;-0,123
108;-0,037
109;0,012
110;0,037
111;0,012
112;-0,049
113;-0,123
114;-0,196
115;-0,27
116;-0,319
117;-0,343
118;-0,319
119;-0,27
120;-0,196
121;-0,123
122;-0,061
123;-0,025
124;-0,012
125;-0,037
126;-0,073
127;-0,147
128;-0,208
129;-0,257
130;-0,294
131;-0,294
132;-0,27
133;-0,233
134;-0,171
135;-0,123
136;-0,073
137;-0,049
138;-0,049
139;-0,073
140;-0,11
141;-0,159
142;-0,196
143;-0,245
144;-0,27
145;-0,27
146;-0,245
147;-0,208
148;-0,171
149;-0,123
150;-0,098
151;-0,073
152;-0,073
153;-0,098
154;-0,135
155;-0,171
156;-0,196
157;-0,233
158;-0,245
159;-0,245
160;-0,221
161;-0,196
162;-0,147
163;-0,123
164;-0,11
165;-0,098
166;-0,098
167;-0,123
168;-0,147
169;-0,171
170;-0,196
171;-0,196
172;-0,221
173;-0,221
174;-0,196
175;-0,171
176;-0,147
177;-0,135
178;-0,123
179;-0,123
180;-0,123
181;-0,135
182;-0,159
183;-0,184
184;-0,196
185;-0,208
186;-0,208
187;-0,196
188;-0,184
189;-0,171
190;-0,147
191;-0,135
192;-0,135
193;-0,123
194;-0,135
195;-0,147
196;-0,171
197;-0,171
198;-0,196
199;-0,196
