Время();Напряжение I/O-1(В)
0;2,07
1;1,323
2;0,343
3;-0,686
4;-1,593
5;-2,181
6;-2,377
7;-2,181
8;-1,629
9;-0,845
10;0,025
11;0,833
12;1,421
13;1,691
14;1,605
15;1,2
16;0,588
17;-0,147
18;-0,858
19;-1,409
20;-1,703
21;-1,691
22;-1,421
23;-0,931
24;-0,319
25;0,294
26;0,796
27;1,103
28;1,152
29;0,956
30;0,564
31;0,073
32;-0,465
33;-0,919
34;-1,2
35;-1,286
36;-1,164
37;-0,858
38;-0,441
39;0,025
40;0,429
41;0,698
42;0,784
43;0,686
44;0,429
45;0,086
46;-0,306
47;-0,637
48;-0,882
49;-0,98
50;-0,907
51;-0,711
52;-0,416
53;-0,073
54;0,221
55;0,429
56;0,515
57;0,465
58;0,306
59;0,061
60;-0,221
61;-0,478
62;-0,662
63;-0,76
64;-0,711
65;-0,588
66;-0,367
67;-0,123
68;0,098
69;0,257
70;0,331
71;0,306
72;0,196
73;0,025
74;-0,196
75;-0,38
76;-0,515
77;-0,588
78;-0,576
79;-0,478
80;-0,319
81;-0,135
82;0,025
83;0,147
84;0,196
85;0,171
86;0,098
87;-0,037
88;-0,208
89;-0,331
90;-0,441
91;-0,478
92;-0,465
93;-0,392
94;-0,27
95;-0,147
96;-0,025
97;0,073
98;0,098
99;0,086
100;0,025
101;-0,073
102;-0,196
103;-0,282
104;-0,367
105;-0,392
106;-0,392
107;-0,319
108;-0,233
109;-0,135
110;-0,049
111;0,012
112;0,025
113;0,025
114;-0,037
115;-0,11
116;-0,196
117;-0,27
118;-0,319
119;-0,343
120;-0,319
121;-0,27
122;-0,208
123;-0,135
124;-0,073
125;-0,025
126;-0,012
127;-0,037
128;-0,073
129;-0,135
130;-0,196
131;-0,245
132;-0,294
133;-0,294
134;-0,282
135;-0,245
136;-0,184
137;-0,123
138;-0,086
139;-0,049
140;-0,049
141;-0,073
142;-0,098
143;-0,147
144;-0,196
145;-0,245
146;-0,257
147;-0,27
148;-0,245
149;-0,221
150;-0,171
151;-0,147
152;-0,098
153;-0,073
154;-0,073
155;-0,098
156;-0,123
157;-0,171
158;-0,196
159;-0,221
160;-0,245
161;-0,233
162;-0,221
163;-0,196
164;-0,159
165;-0,123
166;-0,11
167;-0,098
168;-0,098
169;-0,123
170;-0,147
171;-0,171
172;-0,196
173;-0,221
174;-0,221
175;-0,221
176;-0,196
177;-0,184
178;-0,147
179;-0,135
180;-0,123
181;-0,123
182;-0,123
183;-0,135
184;-0,147
185;-0,171
186;-0,196
187;-0,196
188;-0,208
189;-0,196
190;-0,184
191;-0,171
192;-0,147
193;-0,135
194;-0,123
195;-0,123
196;-0,135
197;-0,147
198;-0,159
199;-0,171
