Время();Напряжение I/O-1(В)
0;0,515
1;0
2;-0,539
3;-0,968
4;-1,225
5;-1,286
6;-1,127
7;-0,809
8;-0,367
9;0,073
10;0,465
11;0,711
12;0,784
13;0,686
14;0,416
15;0,061
16;-0,331
17;-0,662
18;-0,907
19;-0,98
20;-0,907
21;-0,686
22;-0,392
23;-0,061
24;0,245
25;0,441
26;0,515
27;0,465
28;0,294
29;0,049
30;-0,233
31;-0,49
32;-0,674
33;-0,76
34;-0,711
35;-0,576
36;-0,367
37;-0,123
38;0,098
39;0,245
40;0,343
41;0,294
42;0,171
43;0
44;-0,221
45;-0,392
46;-0,539
47;-0,6
48;-0,564
49;-0,465
50;-0,306
51;-0,123
52;0,037
53;0,147
54;0,196
55;0,171
56;0,098
57;-0,049
58;-0,196
59;-0,343
60;-0,441
61;-0,478
62;-0,465
63;-0,392
64;-0,27
65;-0,135
66;-0,012
67;0,073
68;0,098
69;0,086
70;0,012
71;-0,086
72;-0,196
73;-0,294
74;-0,367
75;-0,392
76;-0,392
77;-0,319
78;-0,233
79;-0,123
80;-0,049
81;0,025
82;0,037
83;0,012
84;-0,049
85;-0,123
86;-0,196
87;-0,282
88;-0,331
89;-0,343
90;-0,319
91;-0,27
92;-0,196
93;-0,123
94;-0,061
95;-0,025
96;-0,012
97;-0,037
98;-0,073
99;-0,147
100;-0,196
101;-0,257
102;-0,294
103;-0,294
104;-0,27
105;-0,233
106;-0,184
107;-0,123
108;-0,086
109;-0,049
110;-0,049
111;-0,073
112;-0,11
113;-0,159
114;-0,196
115;-0,245
116;-0,27
117;-0,27
118;-0,245
119;-0,208
120;-0,171
121;-0,123
122;-0,098
123;-0,073
124;-0,073
125;-0,098
126;-0,147
127;-0,159
128;-0,196
129;-0,221
130;-0,245
131;-0,245
132;-0,221
133;-0,196
134;-0,159
135;-0,123
136;-0,098
137;-0,098
138;-0,11
139;-0,123
140;-0,147
141;-0,171
142;-0,196
143;-0,221
144;-0,221
145;-0,221
146;-0,196
147;-0,171
148;-0,147
149;-0,123
150;-0,123
151;-0,123
152;-0,123
153;-0,135
154;-0,147
155;-0,171
156;-0,196
157;-0,208
158;-0,208
159;-0,196
160;-0,184
161;-0,171
162;-0,147
163;-0,135
164;-0,123
165;-0,123
166;-0,135
167;-0,147
168;-0,159
169;-0,171
170;-0,184
171;-0,196
172;-0,196
173;-0,196
174;-0,171
175;-0,159
176;-0,147
177;-0,147
178;-0,135
179;-0,135
180;-0,147
181;-0,147
182;-0,171
183;-0,171
184;-0,184
185;-0,196
186;-0,196
187;-0,184
188;-0,171
189;-0,159
190;-0,147
191;-0,147
192;-0,147
193;-0,147
194;-0,147
195;-0,171
196;-0,159
197;-0,171
198;-0,184
199;-0,184
