Время();Напряжение I/O-1(В)
0;0,551
1;0,76
2;0,772
3;0,613
4;0,319
5;-0,061
6;-0,441
7;-0,747
8;-0,931
9;-0,968
10;-0,845
11;-0,613
12;-0,294
13;0,037
14;0,294
15;0,478
16;0,515
17;0,429
18;0,233
19;-0,037
20;-0,319
21;-0,551
22;-0,711
23;-0,747
24;-0,686
25;-0,515
26;-0,294
27;-0,049
28;0,171
29;0,294
30;0,343
31;0,282
32;0,147
33;-0,049
34;-0,257
35;-0,441
36;-0,551
37;-0,588
38;-0,539
39;-0,429
40;-0,257
41;-0,073
42;0,073
43;0,171
44;0,196
45;0,159
46;0,025
47;-0,098
48;-0,245
49;-0,367
50;-0,453
51;-0,478
52;-0,441
53;-0,343
54;-0,221
55;-0,098
56;0,025
57;0,086
58;0,098
59;0,073
60;-0,012
61;-0,11
62;-0,221
63;-0,319
64;-0,392
65;-0,392
66;-0,367
67;-0,294
68;-0,196
69;-0,098
70;-0,025
71;0,025
72;0,037
73;0
74;-0,025
75;-0,135
76;-0,221
77;-0,294
78;-0,331
79;-0,343
80;-0,306
81;-0,245
82;-0,184
83;-0,11
84;-0,049
85;-0,012
86;-0,012
87;-0,049
88;-0,098
89;-0,159
90;-0,221
91;-0,27
92;-0,294
93;-0,294
94;-0,27
95;-0,221
96;-0,171
97;-0,11
98;-0,073
99;-0,049
100;-0,049
101;-0,073
102;-0,123
103;-0,171
104;-0,184
105;-0,245
106;-0,27
107;-0,257
108;-0,233
109;-0,196
110;-0,147
111;-0,123
112;-0,086
113;-0,073
114;-0,086
115;-0,11
116;-0,147
117;-0,171
118;-0,208
119;-0,233
120;-0,245
121;-0,221
122;-0,208
123;-0,171
124;-0,147
125;-0,123
126;-0,098
127;-0,098
128;-0,11
129;-0,123
130;-0,147
131;-0,184
132;-0,208
133;-0,221
134;-0,221
135;-0,208
136;-0,196
137;-0,171
138;-0,147
139;-0,123
140;-0,123
141;-0,123
142;-0,123
143;-0,135
144;-0,159
145;-0,184
146;-0,196
147;-0,208
148;-0,196
149;-0,196
150;-0,171
151;-0,159
152;-0,147
153;-0,123
154;-0,123
155;-0,123
156;-0,147
157;-0,147
158;-0,171
159;-0,184
160;-0,196
161;-0,196
162;-0,196
163;-0,184
164;-0,171
165;-0,159
166;-0,147
167;-0,135
168;-0,135
169;-0,147
170;-0,147
171;-0,159
172;-0,171
173;-0,184
174;-0,196
175;-0,196
176;-0,184
177;-0,171
178;-0,171
179;-0,159
180;-0,147
181;-0,147
182;-0,135
183;-0,147
184;-0,147
185;-0,159
186;-0,171
187;-0,171
188;-0,184
189;-0,184
190;-0,171
191;-0,171
192;-0,171
193;-0,159
194;-0,147
195;-0,147
196;-0,147
197;-0,147
198;-0,159
199;-0,171
