Время();Напряжение I/O-1(В)
0;-1,642
1;-1,323
2;-0,784
3;-0,171
4;0,429
5;0,882
6;1,127
7;1,127
8;0,87
9;0,453
10;-0,073
11;-0,588
12;-1,004
13;-1,237
14;-1,274
15;-1,103
16;-0,76
17;-0,319
18;0,123
19;0,49
20;0,723
21;0,784
22;0,662
23;0,38
24;0,012
25;-0,367
26;-0,686
27;-0,907
28;-0,968
29;-0,882
30;-0,662
31;-0,355
32;-0,025
33;0,27
34;0,453
35;0,515
36;0,453
37;0,27
38;0,025
39;-0,27
40;-0,515
41;-0,686
42;-0,76
43;-0,686
44;-0,539
45;-0,319
46;-0,073
47;0,147
48;0,282
49;0,331
50;0,294
51;0,159
52;-0,025
53;-0,233
54;-0,416
55;-0,539
56;-0,588
57;-0,551
58;-0,441
59;-0,282
60;-0,11
61;0,049
62;0,159
63;0,196
64;0,171
65;0,073
66;-0,073
67;-0,221
68;-0,355
69;-0,441
70;-0,478
71;-0,453
72;-0,367
73;-0,245
74;-0,123
75;0
76;0,073
77;0,098
78;0,073
79;0
80;-0,098
81;-0,221
82;-0,319
83;-0,38
84;-0,392
85;-0,367
86;-0,294
87;-0,208
88;-0,11
89;-0,025
90;0,025
91;0,025
92;0
93;-0,049
94;-0,135
95;-0,208
96;-0,294
97;-0,319
98;-0,294
99;-0,319
100;-0,257
101;-0,196
102;-0,123
103;-0,061
104;-0,025
105;-0,012
106;-0,037
107;-0,086
108;-0,147
109;-0,208
110;-0,257
111;-0,294
112;-0,294
113;-0,27
114;-0,221
115;-0,171
116;-0,123
117;-0,073
118;-0,049
119;-0,049
120;-0,073
121;-0,123
122;-0,171
123;-0,208
124;-0,245
125;-0,27
126;-0,245
127;-0,245
128;-0,196
129;-0,159
130;-0,123
131;-0,098
132;-0,073
133;-0,073
134;-0,098
135;-0,147
136;-0,171
137;-0,208
138;-0,233
139;-0,245
140;-0,233
141;-0,221
142;-0,184
143;-0,147
144;-0,123
145;-0,098
146;-0,098
147;-0,098
148;-0,123
149;-0,147
150;-0,171
151;-0,196
152;-0,221
153;-0,221
154;-0,221
155;-0,196
156;-0,171
157;-0,147
158;-0,135
159;-0,123
160;-0,123
161;-0,123
162;-0,147
163;-0,159
164;-0,184
165;-0,196
166;-0,208
167;-0,208
168;-0,196
169;-0,184
170;-0,171
171;-0,147
172;-0,123
173;-0,123
174;-0,123
175;-0,147
176;-0,147
177;-0,171
178;-0,171
179;-0,196
180;-0,196
181;-0,196
182;-0,184
183;-0,171
184;-0,159
185;-0,147
186;-0,147
187;-0,135
188;-0,135
189;-0,147
190;-0,147
191;-0,171
192;-0,171
193;-0,196
194;-0,196
195;-0,171
196;-0,184
197;-0,171
198;-0,159
199;-0,147
