Время();Напряжение I/O-1(В)
0;-0,968
1;-1,225
2;-1,286
3;-1,127
4;-0,809
5;-0,367
6;0,073
7;0,465
8;0,711
9;0,784
10;0,674
11;0,416
12;0,061
13;-0,331
14;-0,674
15;-0,894
16;-0,98
17;-0,907
18;-0,686
19;-0,392
20;-0,061
21;0,233
22;0,441
23;0,515
24;0,465
25;0,294
26;0,049
27;-0,233
28;-0,49
29;-0,674
30;-0,76
31;-0,711
32;-0,576
33;-0,367
34;-0,123
35;0,098
36;0,27
37;0,331
38;0,294
39;0,196
40;0
41;-0,208
42;-0,404
43;-0,539
44;-0,588
45;-0,564
46;-0,465
47;-0,306
48;-0,123
49;0,037
50;0,147
51;0,196
52;0,171
53;0,086
54;-0,049
55;-0,196
56;-0,343
57;-0,441
58;-0,478
59;-0,453
60;-0,38
61;-0,27
62;-0,135
63;-0,012
64;0,073
65;0,098
66;0,086
67;0,025
68;-0,086
69;-0,196
70;-0,294
71;-0,367
72;-0,392
73;-0,38
74;-0,319
75;-0,233
76;-0,135
77;-0,049
78;0,025
79;0,025
80;0,025
81;-0,049
82;-0,123
83;-0,196
84;-0,27
85;-0,319
86;-0,343
87;-0,319
88;-0,27
89;-0,196
90;-0,123
91;-0,061
92;-0,025
93;-0,012
94;-0,037
95;-0,073
96;-0,147
97;-0,196
98;-0,257
99;-0,294
100;-0,294
101;-0,27
102;-0,233
103;-0,171
104;-0,123
105;-0,086
106;-0,049
107;-0,049
108;-0,073
109;-0,098
110;-0,159
111;-0,208
112;-0,245
113;-0,27
114;-0,27
115;-0,245
116;-0,208
117;-0,171
118;-0,123
119;-0,098
120;-0,073
121;-0,086
122;-0,098
123;-0,135
124;-0,171
125;-0,196
126;-0,233
127;-0,245
128;-0,245
129;-0,221
130;-0,184
131;-0,159
132;-0,123
133;-0,11
134;-0,098
135;-0,098
136;-0,11
137;-0,147
138;-0,171
139;-0,196
140;-0,221
141;-0,221
142;-0,221
143;-0,196
144;-0,171
145;-0,159
146;-0,135
147;-0,11
148;-0,123
149;-0,123
150;-0,135
151;-0,147
152;-0,171
153;-0,196
154;-0,208
155;-0,208
156;-0,196
157;-0,196
158;-0,171
159;-0,147
160;-0,135
161;-0,123
162;-0,123
163;-0,135
164;-0,147
165;-0,171
166;-0,171
167;-0,196
168;-0,196
169;-0,196
170;-0,196
171;-0,171
172;-0,171
173;-0,147
174;-0,147
175;-0,135
176;-0,147
177;-0,147
178;-0,159
179;-0,171
180;-0,171
181;-0,184
182;-0,196
183;-0,184
184;-0,184
185;-0,171
186;-0,171
187;-0,147
188;-0,147
189;-0,147
190;-0,147
191;-0,147
192;-0,159
193;-0,171
194;-0,184
195;-0,184
196;-0,196
197;-0,171
198;-0,171
199;-0,171
